Time,CPU (Tctl/Tdie) [°C]
11:45:49.102,83.1
11:45:51.100,81.4
11:45:53.104,80.8
11:45:55.101,82.5
11:45:57.103,81.5
11:45:59.101,81.0
11:46:1.103,80.8
11:46:3.099,82.8
11:46:5.103,88.1
11:46:7.099,87.5
11:46:9.105,86.9
11:46:11.101,87.2
11:46:13.104,86.0
11:46:15.100,84.5
11:46:17.102,83.2
11:46:19.099,82.4
11:46:21.104,81.8
11:46:23.101,81.6
11:46:25.103,83.0
11:46:27.099,83.5
11:46:29.103,82.9
11:46:31.100,84.2
11:46:33.099,82.8
11:46:35.100,82.1
11:46:37.104,81.8
11:46:39.100,81.9
11:46:41.099,81.8
11:46:43.100,82.9
11:46:45.104,82.5
11:46:47.101,82.0
11:46:49.103,86.2
11:46:51.100,88.8
11:46:53.105,86.8
11:46:55.102,85.8
11:46:57.104,84.9
11:46:59.101,83.1
11:47:1.104,82.9
11:47:3.101,83.1
11:47:5.105,82.5
11:47:7.101,82.2
11:47:9.105,82.6
11:47:11.101,82.2
11:47:13.104,82.6
11:47:15.102,82.2
11:47:17.103,82.4
11:47:19.101,82.9
11:47:21.103,83.8
11:47:23.101,84.5
11:47:25.103,83.9
11:47:27.100,85.6
11:47:29.104,86.4
11:47:31.101,85.1
11:47:33.105,84.9
11:47:35.101,84.8
11:47:37.098,84.2
11:47:39.101,83.6
11:47:41.105,83.0
11:47:43.101,83.5
11:47:45.098,82.2
11:47:47.101,82.0
11:47:49.098,82.5
11:47:51.102,82.0
11:47:53.105,82.0
11:47:55.101,84.6
11:47:57.104,86.8
11:47:59.100,86.4
11:48:1.100,85.1
11:48:3.100,86.1
11:48:5.099,85.6
11:48:7.102,84.6
11:48:9.099,84.5
11:48:11.102,83.5
11:48:13.098,84.0
11:48:15.102,84.1
11:48:17.099,83.6
11:48:19.099,82.9
11:48:21.104,82.2
11:48:23.102,84.0
11:48:25.101,85.9
11:48:27.102,87.4
11:48:29.100,85.1
11:48:31.101,84.4
11:48:33.100,84.9
11:48:35.102,85.2
11:48:37.098,83.1
11:48:39.102,83.1
11:48:41.100,82.8
11:48:43.101,82.6
11:48:45.099,82.4
11:48:47.103,83.6
11:48:49.100,83.1
11:48:51.102,83.1
11:48:53.098,83.6
11:48:55.104,83.6
11:48:57.100,82.6
11:48:59.104,82.2
11:49:1.101,82.1
11:49:3.102,82.1
11:49:5.100,85.4
11:49:7.104,85.4
11:49:9.101,86.0
11:49:11.104,86.5
11:49:13.099,86.5
11:49:15.101,87.8
11:49:17.101,88.0
11:49:19.103,88.6
11:49:21.101,88.0
11:49:23.103,88.4
11:49:25.101,90.2
11:49:27.104,89.1
11:49:29.106,89.4
11:49:31.100,89.8
11:49:33.100,86.6
11:49:35.117,86.8
11:49:37.472,86.8
11:49:39.110,90.1
11:49:41.203,89.9
11:49:43.123,87.0
11:49:45.101,86.5
11:49:47.106,84.2
11:49:49.102,75.2
11:49:51.108,68.8
11:49:53.099,66.2
11:49:55.100,64.9
11:49:57.098,64.8
11:49:59.099,62.6
11:50:1.099,62.9
11:50:3.099,61.9
11:50:5.096,61.9
11:50:7.101,62.9
11:50:9.098,63.9
11:50:12.440,61.1
